"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0004","2019-01-15",10,"Pca",1,"t2",0,0,0,0,24
"sample_0005","2019-01-15",10,"Pca",2,"t2",0,8.83337553098714,0,0,24
"sample_0006","2019-01-15",10,"Pca",3,"t2",0,3.0944946127662,0,0,24
"sample_0007","2019-01-15",10,"Col",1,"t2",0,0,116.465524516837,0,24
"sample_0008","2019-01-15",10,"Col",2,"t2",0,0,125.130109432582,0,24
"sample_0009","2019-01-15",10,"Col",3,"t2",0,0,147.072889414015,0,24
"sample_0010","2019-01-15",10,"Ble",1,"t2",0,0,0,8.60832137733142,24
"sample_0011","2019-01-15",10,"Ble",2,"t2",0,0,0,16.9353250625932,24
"sample_0012","2019-01-15",10,"Ble",3,"t2",0,0,0,0,24
"sample_0013","2019-01-15",10,"Ble_Tet",1,"t2",2332.06740371902,0,0,0,24
"sample_0014","2019-01-15",10,"Ble_Tet",2,"t2",1965.34166033702,0,0,17.104115677835,24
"sample_0015","2019-01-15",10,"Ble_Tet",3,"t2",2264.43863054548,0,0,4.89492784201198,24
"sample_0016","2019-01-15",10,"Ble_Pca",1,"t2",0,0,0,0,24
"sample_0017","2019-01-15",10,"Ble_Pca",2,"t2",0,10.8025993754747,0,12.2654513742369,24
"sample_0018","2019-01-15",10,"Ble_Pca",3,"t2",0,0,0,0,24
"sample_0019","2019-01-15",10,"Ble_Col",1,"t2",0,0,86.9271668495232,8.49579430050356,24
"sample_0020","2019-01-15",10,"Ble_Col",2,"t2",0,0,183.137817537345,3.60086645849157,24
"sample_0021","2019-01-15",10,"Ble_Col",3,"t2",0,0,162.826680169916,4.78240076518412,24
"sample_0022","2019-01-15",10,"Tet_Ble_Pca",1,"t2",2840.29594621206,14.628519987622,0,8.21447660843391,24
"sample_0023","2019-01-15",10,"Tet_Ble_Pca",2,"t2",2563.59186429235,17.104115677835,0,1.63164261400399,24
"sample_0024","2019-01-15",10,"Tet_Ble_Pca",3,"t2",2158.66317832729,0,0,8.43953076208963,24
"sample_0025","2019-01-15",10,"Tet_Ble_Col",1,"t2",2276.87287253495,0,179.536951078853,0,24
"sample_0026","2019-01-15",10,"Tet_Ble_Col",2,"t2",2211.94474920528,0,193.827889835992,0,24
"sample_0027","2019-01-15",10,"Tet_Ble_Col",3,"t2",2440.71229639632,0,124.061102202718,4.83866430359805,24
"sample_0001","2019-01-15",17,"Tet",1,"t3",5556.19320899091,0,0,0,31
"sample_0002","2019-01-15",17,"Tet",2,"t3",4736.20840014629,0,0,0,31
"sample_0003","2019-01-15",17,"Tet",3,"t3",5600.36008664585,0,0,0,31
"sample_0004","2019-01-15",17,"Pca",1,"t3",0,0,0,0,31
"sample_0005","2019-01-15",17,"Pca",2,"t3",0,5.73888091822095,0,0,31
"sample_0006","2019-01-15",17,"Pca",3,"t3",0,7.25799645539708,0,0,31
"sample_0007","2019-01-15",17,"Col",1,"t3",0,0,256.280417475455,0,31
"sample_0008","2019-01-15",17,"Col",2,"t3",0,0,330.21070695136,0,31
"sample_0009","2019-01-15",17,"Col",3,"t3",0,0,252.62328747855,0,31
"sample_0010","2019-01-15",17,"Ble",1,"t3",0,0,0,0,31
"sample_0011","2019-01-15",17,"Ble",2,"t3",0,0,0,16.9915886010071,31
"sample_0012","2019-01-15",17,"Ble",3,"t3",0,0,0,0,31
"sample_0013","2019-01-15",17,"Ble_Tet",1,"t3",3412.21481418966,0,0,0,31
"sample_0014","2019-01-15",17,"Ble_Tet",2,"t3",3311.33428981349,0,0,0,31
"sample_0015","2019-01-15",17,"Ble_Tet",3,"t3",3916.61743607055,0,0,0,31
"sample_0016","2019-01-15",17,"Ble_Pca",1,"t3",0,0,0,0,31
"sample_0017","2019-01-15",17,"Ble_Pca",2,"t3",0,4.61361014994233,0,0,31
"sample_0018","2019-01-15",17,"Ble_Pca",3,"t3",0,13.8970939882409,0,8.49579430050356,31
"sample_0019","2019-01-15",17,"Ble_Col",1,"t3",0,0,227.304695192281,0,31
"sample_0020","2019-01-15",17,"Ble_Col",2,"t3",0,0,245.47781809998,0,31
"sample_0021","2019-01-15",17,"Ble_Col",3,"t3",0,0,293.076771598166,0,31
"sample_0022","2019-01-15",17,"Tet_Ble_Pca",1,"t3",3549.6666385349,20.9862998283962,0,0,31
"sample_0023","2019-01-15",17,"Tet_Ble_Pca",2,"t3",3392.80389343686,7.03294230174136,0,0,31
"sample_0024","2019-01-15",17,"Tet_Ble_Pca",3,"t3",3605.817649872,9.17095676147073,0,0,31
"sample_0025","2019-01-15",17,"Tet_Ble_Col",1,"t3",3243.87430725518,0,212.788702281487,7.4830506090528,31
"sample_0026","2019-01-15",17,"Tet_Ble_Col",2,"t3",2787.5770107182,0,297.184009902383,0,31
"sample_0027","2019-01-15",17,"Tet_Ble_Col",3,"t3",3015.66939544828,0,294.933468365826,0,31
"sample_0001","2019-01-16",10,"Tet",1,"t4",5843.58736320927,0,0,0,48
"sample_0002","2019-01-16",10,"Tet",2,"t4",4600.5570090303,0,0,0,48
"sample_0003","2019-01-16",10,"Tet",3,"t4",6382.36700706107,0,0,0,48
"sample_0004","2019-01-16",10,"Pca",1,"t4",0,25.4873829015107,0,0,48
"sample_0005","2019-01-16",10,"Pca",2,"t4",0,0,0,0,48
"sample_0006","2019-01-16",10,"Pca",3,"t4",0,0,0,0,48
"sample_0007","2019-01-16",10,"Col",1,"t4",0,0,766.872028581878,0,48
"sample_0008","2019-01-16",10,"Col",2,"t4",0,0,680.845078346977,0,48
"sample_0009","2019-01-16",10,"Col",3,"t4",0,0,746.673418291276,0,48
"sample_0010","2019-01-16",10,"Ble",1,"t4",0,0,0,6.58283399442991,48
"sample_0011","2019-01-16",10,"Ble",2,"t4",0,0,0,8.49579430050356,48
"sample_0012","2019-01-16",10,"Ble",3,"t4",0,0,0,8.55205783891749,48
"sample_0013","2019-01-16",10,"Ble_Tet",1,"t4",4852.67392466312,0,0,0,48
"sample_0014","2019-01-16",10,"Ble_Tet",2,"t4",4556.84023968267,0,0,0,48
"sample_0015","2019-01-16",10,"Ble_Tet",3,"t4",5473.76712521451,0,0,0,48
"sample_0016","2019-01-16",10,"Ble_Pca",1,"t4",0,20.5924550594987,0,0,48
"sample_0017","2019-01-16",10,"Ble_Pca",2,"t4",0,16.4852167552817,0,0,48
"sample_0018","2019-01-16",10,"Ble_Pca",3,"t4",0,17.3291698314907,0,0,48
"sample_0019","2019-01-16",10,"Ble_Col",1,"t4",0,0,884.237769713337,0,48
"sample_0020","2019-01-16",10,"Ble_Col",2,"t4",0,0,852.842715278364,0,48
"sample_0021","2019-01-16",10,"Ble_Col",3,"t4",0,0,686.527695726784,0,48
"sample_0022","2019-01-16",10,"Tet_Ble_Pca",1,"t4",3819.73162292177,0.900216614622894,0,8.3832672236757,48
"sample_0023","2019-01-16",10,"Tet_Ble_Pca",2,"t4",5276.73221368892,18.3981770613554,0,28.9757222831744,48
"sample_0024","2019-01-16",10,"Tet_Ble_Pca",3,"t4",5021.07069513602,20.9300362899823,0,0,48
"sample_0025","2019-01-16",10,"Tet_Ble_Col",1,"t4",4950.40369088812,0,541.255239542015,0,48
"sample_0026","2019-01-16",10,"Tet_Ble_Col",2,"t4",5201.28280867584,0,473.795256983712,0,48
"sample_0027","2019-01-16",10,"Tet_Ble_Col",3,"t4",4352.49106816328,0,478.858975440966,0,48
"sample_0001","2019-01-17",10,"Tet",1,"t5",4694.62964525839,0,0,0,72
"sample_0002","2019-01-17",10,"Tet",2,"t5",5653.75418460067,0,0,0,72
"sample_0003","2019-01-17",10,"Tet",3,"t5",7455.03136692267,0,0,0,72
"sample_0004","2019-01-17",10,"Pca",1,"t5",0,73.3676540917658,0,0,72
"sample_0005","2019-01-17",10,"Pca",2,"t5",0,77.4748923959828,0,0,72
"sample_0006","2019-01-17",10,"Pca",3,"t5",0,72.1298562466594,0,0,72
"sample_0007","2019-01-17",10,"Col",1,"t5",0,0,1432.30089740344,0,72
"sample_0008","2019-01-17",10,"Col",2,"t5",0,0,1561.25692744817,0,72
"sample_0009","2019-01-17",10,"Col",3,"t5",0,0,1530.03066362844,0,72
"sample_0010","2019-01-17",10,"Ble",1,"t5",0,0,0,11.8716066053394,72
"sample_0011","2019-01-17",10,"Ble",2,"t5",0,0,0,8.49579430050356,72
"sample_0012","2019-01-17",10,"Ble",3,"t5",0,0,0,0,72
"sample_0013","2019-01-17",10,"Ble_Tet",1,"t5",6561.34132275579,0,0,0,72
"sample_0014","2019-01-17",10,"Ble_Tet",2,"t5",6382.8733789068,0,0,0,72
"sample_0015","2019-01-17",10,"Ble_Tet",3,"t5",5832.55970968014,0,0,0,72
"sample_0016","2019-01-17",10,"Ble_Pca",1,"t5",0,101.893268067629,0,15.0786282949335,72
"sample_0017","2019-01-17",10,"Ble_Pca",2,"t5",0,112.752130981517,0,6.30151630236026,72
