"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0018","2019-01-28",10,"Ble_Pca",3,"t10",0,179.086842771542,0,24.6434298253017,336
"sample_0019","2019-01-28",10,"Ble_Col",1,"t10",0,0,2069.42920640279,32.6328522800799,336
"sample_0020","2019-01-28",10,"Ble_Col",2,"t10",0,0,2104.2000731426,81.7509213154415,336
"sample_0021","2019-01-28",10,"Ble_Col",3,"t10",0,0,2240.47036318114,35.1647115087068,336
"sample_0022","2019-01-28",10,"Tet_Ble_Pca",1,"t10",3.99471122738909,80.4568599319211,0,80.1192787014375,336
"sample_0023","2019-01-28",10,"Tet_Ble_Pca",2,"t10",0,80.9632317776465,0,73.0300728612822,336
"sample_0024","2019-01-28",10,"Tet_Ble_Pca",3,"t10",3.15075815118013,82.7074014684784,0,84.4515711593102,336
"sample_0025","2019-01-28",10,"Tet_Ble_Col",1,"t10",0,0,1.01274369145076,68.4164627113399,336
"sample_0026","2019-01-28",10,"Tet_Ble_Col",2,"t10",1.06900722986469,0,4.83866430359805,76.7434663966017,336
"sample_0027","2019-01-28",10,"Tet_Ble_Col",3,"t10",0,0,3.37581230483585,53.2815708779925,336
"sample_0001","2019-01-30",10,"Tet",1,"t11",2744.87298506203,0,0,0,384
"sample_0002","2019-01-30",10,"Tet",2,"t11",5071.76414324697,0,0,0,384
"sample_0003","2019-01-30",10,"Tet",3,"t11",3926.68860944665,0,0,0,384
"sample_0004","2019-01-30",10,"Pca",1,"t11",0,179.255633386784,0,0,384
"sample_0005","2019-01-30",10,"Pca",2,"t11",0,153.093088024306,0,0,384
"sample_0006","2019-01-30",10,"Pca",3,"t11",0,201.704785213942,0,0,384
"sample_0007","2019-01-30",10,"Col",1,"t11",0,0,1832.33465552649,0,384
"sample_0008","2019-01-30",10,"Col",2,"t11",0,0,1397.98013897094,0,384
"sample_0009","2019-01-30",10,"Col",3,"t11",0,0,1870.20001687906,0,384
"sample_0010","2019-01-30",10,"Ble",1,"t11",0,0,0,102.230849298112,384
"sample_0011","2019-01-30",10,"Ble",2,"t11",0,0,0,148.648268489605,384
"sample_0012","2019-01-30",10,"Ble",3,"t11",0,0,0,86.7021126958675,384
"sample_0013","2019-01-30",10,"Ble_Tet",1,"t11",0,0,0,159.619658480322,384
"sample_0014","2019-01-30",10,"Ble_Tet",2,"t11",8.3832672236757,0,0,113.93366528821,384
"sample_0015","2019-01-30",10,"Ble_Tet",3,"t11",0,0,0,215.939460432667,384
"sample_0016","2019-01-30",10,"Ble_Pca",1,"t11",0,161.476355247982,0,0,384
"sample_0017","2019-01-30",10,"Ble_Pca",2,"t11",0,116.746842208907,0,17.6667510619743,384
"sample_0018","2019-01-30",10,"Ble_Pca",3,"t11",0,154.837257715138,0,6.41404337918812,384
"sample_0019","2019-01-30",10,"Ble_Col",1,"t11",0,0,2075.5056685515,2.3630686133851,384
"sample_0020","2019-01-30",10,"Ble_Col",2,"t11",0,0,2059.80814133401,5.51382676456522,384
"sample_0021","2019-01-30",10,"Ble_Col",3,"t11",0,0,1947.16853742932,38.0904155062312,384
"sample_0022","2019-01-30",10,"Tet_Ble_Pca",1,"t11",0,79.4441162404704,0,90.5842968464287,384
"sample_0023","2019-01-30",10,"Tet_Ble_Pca",2,"t11",7.31425999381101,68.4164627113399,0,80.9632317776465,384
"sample_0024","2019-01-30",10,"Tet_Ble_Pca",3,"t11",0,100.993051453006,0,105.269080372465,384
"sample_0025","2019-01-30",10,"Tet_Ble_Col",1,"t11",0.67516246096717,0,17.3854333699046,134.188539117225,384
"sample_0026","2019-01-30",10,"Tet_Ble_Col",2,"t11",0,0,21.6051987509494,120.403972205812,384
"sample_0027","2019-01-30",10,"Tet_Ble_Col",3,"t11",3.31954876642192,0,7.82063183953639,116.915632824148,384
"sample_0001","2019-02-01",10,"Tet",1,"t12",5331.25158241202,0,0,0,432
"sample_0002","2019-02-01",10,"Tet",2,"t12",4831.51883421948,0,0,0,432
"sample_0003","2019-02-01",10,"Tet",3,"t12",2528.53967986047,0,0,0,432
"sample_0004","2019-02-01",10,"Pca",1,"t12",0,138.970939882409,0,0,432
"sample_0005","2019-02-01",10,"Pca",2,"t12",0,111.120488367513,0,0,432
"sample_0006","2019-02-01",10,"Pca",3,"t12",0,176.04861169719,0,0,432
"sample_0007","2019-02-01",10,"Col",1,"t12",0,0,1606.15523110248,0,432
"sample_0008","2019-02-01",10,"Col",2,"t12",0,0,1339.52232255887,0,432
"sample_0009","2019-02-01",10,"Col",3,"t12",0,0,2242.3270599488,0,432
"sample_0010","2019-02-01",10,"Ble",1,"t12",0,0,0,160.632402171773,432
"sample_0011","2019-02-01",10,"Ble",2,"t12",0,0,0,151.799026640785,432
"sample_0012","2019-02-01",10,"Ble",3,"t12",0,0,0,95.2541705347849,432
"sample_0013","2019-02-01",10,"Ble_Tet",1,"t12",0,0,0,118.265957746083,432
"sample_0014","2019-02-01",10,"Ble_Tet",2,"t12",0,0,0,131.487889273356,432
"sample_0015","2019-02-01",10,"Ble_Tet",3,"t12",13.6720398345852,0,0,206.768503671196,432
"sample_0016","2019-02-01",10,"Ble_Pca",1,"t12",0,116.859369285734,0,8.49579430050356,432
"sample_0017","2019-02-01",10,"Ble_Pca",2,"t12",0,86.6458491574535,0,2.08175092131544,432
"sample_0018","2019-02-01",10,"Ble_Pca",3,"t12",0,181.168593692857,0,0,432
"sample_0019","2019-02-01",10,"Ble_Col",1,"t12",0,0,2051.98750949447,15.3036824485892,432
"sample_0020","2019-02-01",10,"Ble_Col",2,"t12",0,0,1939.0103243593,20.2548738290151,432
"sample_0021","2019-02-01",10,"Ble_Col",3,"t12",0,0,1362.08400146285,36.4025093538133,432
"sample_0022","2019-02-01",10,"Tet_Ble_Pca",1,"t12",0,132.10678819591,0,52.2688271865418,432
"sample_0023","2019-02-01",10,"Tet_Ble_Pca",2,"t12",10.8025993754747,117.647058823529,0,63.9716431766394,432
"sample_0024","2019-02-01",10,"Tet_Ble_Pca",3,"t12",3.93844768897516,86.9834303879371,0,81.0757588544744,432
"sample_0025","2019-02-01",10,"Tet_Ble_Col",1,"t12",3.31954876642192,0,9.1146932230568,80.2880693166793,432
"sample_0026","2019-02-01",10,"Tet_Ble_Col",2,"t12",0,0,18.2856499845275,126.874279123414,432
"sample_0027","2019-02-01",10,"Tet_Ble_Col",3,"t12",0,0,4.95119138042592,118.040903592427,432
